airport_name
Yakutat, AK: Yakutat Airport
Aguadilla, PR: Rafael Hernandez
Houston, TX: William P Hobby
Long Beach, CA: Long Beach Airport
Worcester, MA: Worcester Regional
Ponce, PR: Mercedita
Newburgh/Poughkeepsie, NY: New York Stewart International
Asheville, NC: Asheville Regional
Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International
Billings, MT: Billings Logan International
Bismarck/Mandan, ND: Bismarck Municipal
Charleston/Dunbar, WV: Yeager
Dallas, TX: Dallas Love Field
Panama City, FL: Northwest Florida Beaches International
Fargo, ND: Hector International
Fayetteville, NC: Fayetteville Regional/Grannis Field
Kalispell, MT: Glacier Park International
Sioux Falls, SD: Joe Foss Field
Huntsville, AL: Huntsville International-Carl T Jones Field
Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International
Little Rock, AR: Bill and Hillary Clinton Nat Adams Field
Chicago, IL: Chicago Midway International
Melbourne, FL: Melbourne International
Mobile, AL: Mobile Regional
Missoula, MT: Missoula International
Bristol/Johnson City/Kingsport, TN: Tri Cities
Amarillo, TX: Rick Husband Amarillo International
Brownsville, TX: Brownsville South Padre Island International
College Station/Bryan, TX: Easterwood Field
Columbia, MO: Columbia Regional
Corpus Christi, TX: Corpus Christi International
Killeen, TX: Robert Gray AAF
Hobbs, NM: Lea County Regional
Lansing, MI: Capital Region International
Lubbock, TX: Lubbock Preston Smith International
Lake Charles, LA: Lake Charles Regional
Laredo, TX: Laredo International
Mission/McAllen/Edinburg, TX: McAllen Miller International
Monroe, LA: Monroe Regional
Rochester, MN: Rochester International
State College, PA: University Park
Islip, NY: Long Island MacArthur
Portsmouth, NH: Portsmouth International at Pease
Trenton, NJ: Trenton Mercer
Phoenix, AZ: Phoenix - Mesa Gateway
Belleville, IL: Scott AFB/MidAmerica
Clarksburg/Fairmont, WV: North Central West Virginia
Elmira/Corning, NY: Elmira/Corning Regional
Eugene, OR: Mahlon Sweet Field
Fort Wayne, IN: Fort Wayne International
Grand Forks, ND: Grand Forks International
Grand Junction, CO: Grand Junction Regional
Grand Island, NE: Central Nebraska Regional
Great Falls, MT: Great Falls International
Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field
Ashland, WV: Tri-State/Milton J. Ferguson Field
Niagara Falls, NY: Niagara Falls International
Idaho Falls, ID: Idaho Falls Regional
Columbus, OH: Rickenbacker International
Medford, OR: Rogue Valley International - Medford
Minot, ND: Minot International
Monterey, CA: Monterey Regional
Ogden, UT: Ogden-Hinckley
Ogdensburg, NY: Ogdensburg International
Owensboro, KY: Owensboro Daviess County Regional
Plattsburgh, NY: Plattsburgh International
Punta Gorda, FL: Punta Gorda Airport
Peoria, IL: General Downing - Peoria International
St. Petersburg, FL: St Pete Clearwater International
Pasco/Kennewick/Richland, WA: Tri Cities
Provo, UT: Provo Municipal
Rapid City, SD: Rapid City Regional
Rockford, IL: Chicago/Rockford International
Stockton, CA: Stockton Metropolitan
Sanford, FL: Orlando Sanford International
St. George, UT: St George Regional
Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field
Springfield, IL: Abraham Lincoln Capital
St. Cloud, MN: St. Cloud Regional
Toledo, OH: Toledo Express
Concord, NC: Concord Padgett Regional
